Time:2015/6/17 20:31:11-Redis write queue start init...


Time:2015/6/17 20:31:11-Sql wait write queue start init...


Time:2015/6/17 20:31:11-Sql write queue start init...


Time:2015/6/17 20:31:11-Trace>>The data:GameServer.Model.UserFriends has been loaded 32


Time:2015/6/17 20:31:11-Trace>>The data:GameServer.Model.UserFriends has been loaded 32


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380028 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380026 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380027 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380025 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380024 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380023 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380022 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380021 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380020 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380019 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380018 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380017 has been loaded 1


Time:2015/6/17 20:31:12-Trace>>The data:GameServer.Model.GameUser_1380016 has been loaded 1


