Time:2015/6/14 15:05:20-Trace>>Action-1004 Uid:1380026 access timeout 1200.8062/500ms.


Time:2015/6/14 15:05:20-Trace>>OnEntitySyncQueue execute count:1, success:38/total 39, fail:0 start...


Time:2015/6/14 15:06:35-Trace>>OnEntitySyncQueue execute count:1, success:39/total 40, fail:0 start...


Time:2015/6/14 15:07:50-Trace>>OnEntitySyncQueue execute count:1, success:40/total 41, fail:0 start...


Time:2015/6/14 15:08:57-Trace>>OnEntitySyncQueue execute count:1, success:41/total 42, fail:0 start...


Time:2015/6/14 15:09:53-Trace>>OnEntitySyncQueue execute count:1, success:42/total 43, fail:0 start...


Time:2015/6/14 15:10:49-Trace>>OnEntitySyncQueue execute count:1, success:43/total 44, fail:0 start...


Time:2015/6/14 15:11:46-Trace>>OnEntitySyncQueue execute count:1, success:44/total 45, fail:0 start...


Time:2015/6/14 15:12:37-Trace>>OnEntitySyncQueue execute count:1, success:45/total 46, fail:0 start...


Time:2015/6/14 15:13:19-Trace>>OnEntitySyncQueue execute count:1, success:46/total 47, fail:0 start...


Time:2015/6/14 15:24:51-Trace>>Action-1004 Uid:1380026 access timeout 1294.8501/500ms.


Time:2015/6/14 15:24:51-Trace>>OnEntitySyncQueue execute count:1, success:47/total 48, fail:0 start...


Time:2015/6/14 15:25:36-Trace>>OnEntitySyncQueue execute count:1, success:48/total 49, fail:0 start...


Time:2015/6/14 15:27:17-Trace>>OnEntitySyncQueue execute count:1, success:49/total 50, fail:0 start...


Time:2015/6/14 15:27:46-Trace>>OnEntitySyncQueue execute count:1, success:50/total 51, fail:0 start...


Time:2015/6/14 15:28:43-Trace>>OnEntitySyncQueue execute count:1, success:51/total 52, fail:0 start...


Time:2015/6/14 15:29:16-Trace>>OnEntitySyncQueue execute count:1, success:52/total 53, fail:0 start...


Time:2015/6/14 15:29:39-Trace>>OnEntitySyncQueue execute count:1, success:53/total 54, fail:0 start...


Time:2015/6/14 15:30:47-Trace>>OnEntitySyncQueue execute count:32, success:0/total 32, fail:0 start...


Time:2015/6/14 15:31:05-Trace>>OnEntitySyncQueue execute count:1, success:32/total 33, fail:0 start...


Time:2015/6/14 15:35:14-Trace>>OnEntitySyncQueue execute count:1, success:33/total 34, fail:0 start...


Time:2015/6/14 15:39:17-Trace>>OnEntitySyncQueue execute count:1, success:34/total 35, fail:0 start...


