Time:2015/6/20 17:00:02-Trace>>OnEntitySyncQueue execute count:1, success:2/total 3, fail:0 start...


Time:2015/6/20 17:16:20-Trace>>Action-1004 Uid:1380026 access timeout 1609.071/500ms.


Time:2015/6/20 17:16:20-Trace>>OnEntitySyncQueue execute count:1, success:3/total 4, fail:0 start...


Time:2015/6/20 17:20:33-Trace>>OnEntitySyncQueue execute count:1, success:4/total 5, fail:0 start...


Time:2015/6/20 17:22:03-Trace>>OnEntitySyncQueue execute count:1, success:5/total 6, fail:0 start...


Time:2015/6/20 17:25:03-Trace>>OnEntitySyncQueue execute count:1, success:6/total 7, fail:0 start...


Time:2015/6/20 17:26:44-Trace>>OnEntitySyncQueue execute count:1, success:7/total 8, fail:0 start...


Time:2015/6/20 17:34:00-Trace>>Action-1004 Uid:1380026 access timeout 1243.8286/500ms.


Time:2015/6/20 17:34:00-Trace>>OnEntitySyncQueue execute count:1, success:8/total 9, fail:0 start...


Time:2015/6/20 17:34:10-Trace>>OnEntitySyncQueue execute count:2, success:9/total 11, fail:0 start...


Time:2015/6/20 17:34:11-Trace>>OnEntitySyncQueue execute count:1, success:11/total 12, fail:0 start...


Time:2015/6/20 17:34:22-Trace>>OnEntitySyncQueue execute count:1, success:12/total 13, fail:0 start...


Time:2015/6/20 17:34:36-Trace>>OnEntitySyncQueue execute count:1, success:13/total 14, fail:0 start...


Time:2015/6/20 17:34:43-Trace>>OnEntitySyncQueue execute count:1, success:14/total 15, fail:0 start...


Time:2015/6/20 17:43:10-Trace>>Action-1004 Uid:1380026 access timeout 1186.792/500ms.


Time:2015/6/20 17:43:10-Trace>>OnEntitySyncQueue execute count:1, success:15/total 16, fail:0 start...


Time:2015/6/20 17:43:24-Trace>>OnEntitySyncQueue execute count:2, success:16/total 18, fail:0 start...


Time:2015/6/20 17:43:25-Trace>>OnEntitySyncQueue execute count:1, success:18/total 19, fail:0 start...


Time:2015/6/20 17:43:30-Trace>>OnEntitySyncQueue execute count:1, success:19/total 20, fail:0 start...


Time:2015/6/20 17:43:33-Trace>>OnEntitySyncQueue execute count:2, success:20/total 22, fail:0 start...


Time:2015/6/20 17:43:33-Trace>>OnEntitySyncQueue execute count:1, success:22/total 23, fail:0 start...


Time:2015/6/20 17:43:39-Trace>>OnEntitySyncQueue execute count:1, success:23/total 24, fail:0 start...


Time:2015/6/20 17:43:40-Trace>>OnEntitySyncQueue execute count:1, success:24/total 25, fail:0 start...


Time:2015/6/20 17:43:42-Trace>>OnEntitySyncQueue execute count:1, success:25/total 26, fail:0 start...


Time:2015/6/20 17:43:44-Trace>>OnEntitySyncQueue execute count:2, success:26/total 28, fail:0 start...


Time:2015/6/20 17:43:44-Trace>>OnEntitySyncQueue execute count:1, success:28/total 29, fail:0 start...


Time:2015/6/20 17:43:45-Trace>>OnEntitySyncQueue execute count:2, success:29/total 31, fail:0 start...


Time:2015/6/20 17:43:45-Trace>>OnEntitySyncQueue execute count:1, success:31/total 32, fail:0 start...


Time:2015/6/20 17:43:47-Trace>>OnEntitySyncQueue execute count:2, success:32/total 34, fail:0 start...


Time:2015/6/20 17:43:47-Trace>>OnEntitySyncQueue execute count:1, success:34/total 35, fail:0 start...


Time:2015/6/20 17:44:14-Trace>>OnEntitySyncQueue execute count:1, success:35/total 36, fail:0 start...


Time:2015/6/20 17:44:59-Trace>>OnEntitySyncQueue execute count:1, success:36/total 37, fail:0 start...


Time:2015/6/20 17:45:22-Trace>>OnEntitySyncQueue execute count:1, success:37/total 38, fail:0 start...


Time:2015/6/20 17:45:23-Trace>>OnEntitySyncQueue execute count:1, success:38/total 39, fail:0 start...


Time:2015/6/20 17:45:24-Trace>>OnEntitySyncQueue execute count:1, success:39/total 40, fail:0 start...


Time:2015/6/20 17:45:36-Trace>>OnEntitySyncQueue execute count:1, success:40/total 41, fail:0 start...


Time:2015/6/20 17:45:43-Trace>>OnEntitySyncQueue execute count:1, success:41/total 42, fail:0 start...


Time:2015/6/20 17:45:45-Trace>>OnEntitySyncQueue execute count:1, success:42/total 43, fail:0 start...


Time:2015/6/20 17:45:58-Trace>>OnEntitySyncQueue execute count:1, success:43/total 44, fail:0 start...


